rank,lemma,count
212,utilizar,168
213,continuar,168
214,guardar,168
215,durar,168
216,pertenecer,168
217,quedar yo,167
218,manejar,167
219,oir,166
220,pegar,163
221,sufrir,162
222,tirar,160
223,aconsejar,160
224,compartir,159
225,engañar,158
226,contener,157
227,golpear,156
228,ofrecer,156
229,comprender,155
230,mandar,154
231,acordar,154
232,haz,153
233,acercar,153
234,ir yo,151
235,presentar,151
236,pescar,151
237,desaparecer,150
238,respetar,150
239,causar,149
240,ocultar,149
241,planear,149
242,quejar,147
243,poner él,146
244,aprobar,146
245,recoger,144
246,producir,143
247,ayudar él,143
248,tengar,142
249,decir yo,142
250,salvar,141
251,vayar,139
252,gastar,138
253,disparar,134
254,oler,133
255,quemar,132
256,convencer,132
257,contestar,131
258,ayudar yo,130
259,divertir,129
260,luchar,128
261,ocupar,126
262,desayunar,125
263,formar,125
264,pelear,125
265,olvidser,124
266,permanecer,124
267,odio,123
268,descansar,123
269,perdonar,123
270,inventar,122
271,estabar,122
272,rechazar,121
273,realizar,119
274,huir,118
275,agradecer,118
276,acusar,117
277,celebrar,117
278,entregar,117
279,quieras,117
280,enamorar,117
281,observar,117
282,encender,117
283,tardar,116
284,enfermar,116
285,partir,116
286,votar,115
287,marchar,115
288,despedir,115
289,acompañar,115
290,casar él,114
291,herir,113
292,atacar,113
293,soñar,112
294,ignorar,112
295,devolver,111
296,añadir,111
297,sobrevivir,111
298,aumentar,110
299,montar,110
300,ahorrar,109
301,asistir,109
302,acostar,108
303,destruir,108
304,ordenar,108
305,requerir,108
306,impedir,108
307,adorar,107
308,imaginar,107
309,comprar él,107
310,aguantar,107
311,crees,106
312,fingir,105
313,superar,104
314,practicar,104
315,regalar,102
316,atrapar,102
317,firmar,100
318,girar,99
319,asegurar,99
320,averiguar,99
321,alimentar,99
322,dirigir,97
323,apoyar,97
324,dar yo,97
325,admirar,95
326,dedicar,95
327,proteger,95
328,lucir,95
329,distinguir,94
330,colgar,94
331,pesar,94
332,cancelar,94
333,notar,94
334,vengar,93
335,nevar,93
336,renunciar,93
337,contratar,93
338,morder,92
339,recuperar,92
340,provocar,91
341,reparar,91
342,participar,91
343,estés,91
344,llenar,91
345,expresar,90
346,agarrar,90
347,respirar,90
348,incluir,89
349,pedir él,89
350,ceder,89
351,adoptar,89
352,asesinar,88
353,hacer yo,88
354,enfadar,88
355,encontrar él,88
356,mudar,87
357,reunir,87
358,fracasar,87
359,haber él,86
360,atravesar,85
361,apuntar,85
362,obligar,83
363,demostrar,83
364,asustar,82
365,lanzar,82
366,repetir,82
367,aburrir,82
368,querés,82
369,vayas,81
370,lastimar,81
371,revisar,80
372,poseer,80
373,equivocar,80
374,reducir,80
375,arrestar,80
376,arruinar,79
377,olvidé,78
378,cansar,77
379,lamentar,77
380,pasear,77
381,describir,77
382,culpar,77
383,dejes,76
384,pronunciar,76
385,confesar,76
386,tender,76
387,pretender,75
388,preguntar él,75
389,obedecer,75
390,castigar,75
391,extrañar,75
392,creser,74
393,brillar,74
394,acostumbrar,74
395,escalar,74
396,marcar,74
397,pillar,73
398,rezar,73
399,unir,73
400,arrojar,73
401,dibujar,73
402,llevar él,72
403,sugerir,72
404,controlar,72
405,dudar,71
406,saber él,71
407,verter,70
408,afectar,70
409,pon,70
410,cubrir,70
411,curar,70
412,bastar,70
413,dejar él,70
414,hayas,69
415,bromear,69
416,levantar él,69
417,vi,68
418,criar,68
419,estáis,68
420,perseguir,68
421,disculpar,67
422,rendir,67
423,retirar,67
424,temblar,67
425,advertir,67
426,dividir,67
427,mencionar,67
428,capturar,67
429,enojar,67
430,bañar,66
431,aprovechar,66
432,conversar,66
433,sangrar,66
434,saludar,66
435,declarar,66
436,burlar,66
437,investigar,65
438,empeorar,65
439,apetecer,65
440,juzgar,65
441,defender,65
442,conocí,65
443,ven,64
444,medir,64
445,exigir,64
446,extender,64
447,hundir,64
448,borrar,64
449,reir,64
450,coser,63
451,sostener,63
452,separar,63
453,podés,63
454,caber,62
455,podriar,62
456,atraer,62
457,ladrar,62
458,decir tú,62
459,esquiar,61
460,insistir,61
461,vestir,61
462,arrancar,61
463,plantar,61
464,fallecer,60
465,tomé,60
466,habler,60
467,despreciar,60
468,revelar,60
469,proponer,59
470,dominar,59
471,indicar,59
472,escoger,59
473,suspender,59
474,convertir él,59
475,representar,59
476,establecer,58
477,prender,58
478,confundir,58
479,sal,58
480,favoritar,58
481,distir,57
482,avanzar,57
483,conocer él,57
484,recomendar,57
485,hazlo,57
486,cazar,57
487,alquilar,57
488,ahogar,57
489,consistir,57
490,charlar,56
491,despegar,56
492,condenar,56
493,enterar,56
494,referir,56
495,consumir,55
496,fallar,55
497,intentar él,55
498,enterrar,55
499,aplicar,55
500,odar,55
501,apretar,55
502,publicar,54
503,coleccionar,54
504,regar,54
505,cargar,54
506,creer él,54
507,leer él,54
508,interrumpir,54
509,suicidar,53
510,abrazar,53
511,asegúratir,53
512,entender él,53
513,liberar,53
514,hicistar,53
515,sospechar,53
516,encargar,53
517,poner yo,53
518,colocar,53
519,corregir,52
520,pelar,52
521,desarrollar,52
522,enfrentar,52
523,retrasar,52
524,agotar,52
525,soltar,52
526,llamar él,52
527,pongar,52
528,picar,52
529,agrar,52
530,mover él,52
531,quedser,51
532,hablar él,51
533,llueir,51
534,traicionar,51
535,explotar,51
536,inclinar,51
537,estallar,51
538,bereber,51
539,preocupar él,50
540,callar,50
541,componer,50
542,tráemir,50
543,interpretar,50
544,chocar,50
545,sonreir,50
546,comí,50
547,contribuir,50
548,arrepientir,49
549,cepillar,49
550,ir tú,49
551,calentar,49
552,informar,49
553,separ,49
554,agregar,49
555,aparcar,48
556,comportar,48
557,sentar yo,48
558,oscurecer,48
559,estacionar,48
560,pisar,48
561,forzar,47
562,levantar yo,47
563,doblar,47
564,derramar,47
565,atropellar,47
566,gobernar,47
567,tomo,47
568,sembrar,46
569,solucionar,46
570,oí,46
571,aterrizar,46
572,surgir,46
573,llevar yo,45
574,oponer,45
575,vencer,45
576,prir,45
577,derretir,45
578,abundar,45
579,asumir,44
580,hallar,44
581,regañar,44
582,triunfar,44
583,convencer él,44
584,memorizar,44
585,soplar,43
586,explicar él,43
587,hicistir,43
588,esperer,43
589,posponer,43
590,alzar,43
591,tenés,43
592,secar,42
593,provenir,42
594,vaya,42
595,oir él,42
596,escrir,42
597,atender,42
598,comunicar,42
599,confirmar,42
600,educar,42
601,animar,42
602,contentar,42
603,llamastir,42
604,rogar,42
605,quejar él,42
606,preferirir,42
607,predecir,42
608,insultar,42
609,hubierar,42
610,rehusar,42
611,visitar yo,41
612,salgar,41
613,calcular,41
614,navegar,41
615,eliminar,41
616,reservar,41
617,fundar,41
618,llamir,41
619,mezclar,41
620,encontrarás,41
621,sudar,41
622,sentar él,41
623,amenazar,41
624,gusto,41
625,usar él,41
626,comer él,41
627,hornear,41
628,mantener él,41
629,adivinar,40
630,derrotar,40
631,portar,40
632,abolir,40
633,deme,40
634,mentar,40
635,ordeñar,40
636,decepcionar,39
637,comprastar,39
638,operar,39
639,consultar,39
640,come,39
641,afeitar,39
642,desmayar,39
643,engordar,39
644,harás,39
645,decirte,39
646,examinar,39
647,imitar,39
648,apreciar,39
649,acumular,39
650,acudir,39
651,flotar,39
652,metar,39
653,contar él,39
654,comes,38
655,pasar yo,38
656,encontrastar,38
657,comprendo,38
658,criticar,38
659,copiar,38
660,alejar,38
661,lear,38
662,estupendo,38
663,enseñar yo,38
664,hartar,38
665,vigilar,38
666,dañar,38
667,torturar,38
668,rescatar,38
669,sentir él,38
670,hab él,37
671,señalar,37
672,basar,37
673,transmitir,37
674,disminuir,37
675,cavar,37
676,identificar,37
677,carecer,37
678,organizar,37
679,afirmar,36
680,vinistir,36
681,prohíbir,36
682,tuvir,36
683,dimitir,36
684,acelerar,36
685,ves,36
686,anunciar,36
687,experimentar,36
688,empujar,36
689,despedir él,35
690,iniciar,35
691,reir él,35
692,transformar,35
693,cobrar,35
694,haber tú,35
695,conservar,35
696,escucher,35
697,juntar,35
698,proporcionar,35
699,congelar,35
700,rodear,35
701,secuestrar,35
702,esforzar,34
703,adquirir,34
704,avisar,34
705,silbar,34
706,acuerdas,34
707,impresionar,34
708,duelar,34
709,ofender,34
710,quédatir,34
711,fijar,34
712,constar,34
713,quierar,34
714,ascender,34
715,vais,34
716,diferenciar,33
717,garantizar,33
718,apuñalar,33
719,acceder,33
720,tolerar,33
721,planchar,33
722,tomar él,33
723,tendré,33
724,relajar,33
725,donar,33
726,introducir,32
727,entrenar,32
728,echar él,32
729,pregúntalir,32
730,comparar,32
731,fastidiar,32
732,nombrar,32
733,elevar,32
734,tragar,32
735,veré,32
736,quebrar,31
737,repartir,31
738,florecer,31
739,prevenir,31
740,promover,31
741,ar,31
742,quedarar,31
743,deshacer,31
744,recurrir,31
745,dartir,31
746,exagerar,31
747,serás,31
748,grabar,31
749,reprobar,31
750,susurrar,31
751,fiar,31
752,sois,31
753,estropear,31
754,besar él,31
755,conectar,31
756,traigar,31
757,aborrecer,30
758,reflejar,30
759,corresponder,30
760,opinar,30
761,competir,30
762,arder,30
763,bebar,30
764,llamer,30
765,ajustar,30
766,expulsar,30
767,comprobar,30
768,variar,30
769,contactar,30
770,irmir,30
771,queráis,30
772,limitar,30
773,resistir,30
774,demandar,30
775,instalar,30
776,comistar,30
777,agradar,30
778,cagar,30
779,solicitar,30
780,amir,30
781,arrastrar,30
782,aprendo,30
783,adaptar,29
784,cambiar él,29
785,abrir él,29
786,invertir,29
787,hayar,29
788,tendrar,29
789,salí,29
790,graduar,29
791,masticar,29
792,locar,28
793,reemplazar,28
794,matar él,28
795,rugir,28
796,desperdiciar,28
797,extinguir,28
798,incrementar,28
799,arriesgar,28
800,iluminar,28
801,amanecer,28
802,patinar,28
803,sabes,28
804,explorar,28
805,vomitar,28
806,completar,28
807,presionar,28
808,estornudar,28
809,vetir,28
810,concluir,28
811,matar yo,28
812,aplaudir,27
813,emplear,27
814,encontrar yo,27
815,casar yo,27
816,satisfacer,27
817,tomar yo,27
818,lavo,27
819,atrevir,27
820,afuerar,27
821,absorber,27
822,arreglar él,27
823,llegarer,27
824,presumir,27
825,chillar,27
826,anotar,27
827,divorciar,27
828,disfrazar,27
829,abogar,27
830,sabés,27
831,disponer,26
832,fabricar,26
833,heredar,26
834,conceder,26
835,pensar él,26
836,divertir él,26
837,escribir él,26
838,olvidar él,26
839,compensar,26
840,hicir,26
841,sujetar,26
842,atar,26
843,recorrer,26
844,sacudir,26
845,apostar,26
846,aliviar,26
847,abducir,26
848,complicar,26
849,parir,25
850,comprarme,25
851,preocupar yo,25
852,jurar,25
853,conseguí,25
854,alojar,25
855,probar él,25
856,aproximar,25
857,invadir,25
858,esperé,25
859,casartir,25
860,definir,25
861,prohibir,25
862,volví,25
863,abordar,25
864,someter,25
865,abusar,25
866,oímos,25
867,decorar,25
868,meditar,25
869,debo,25
870,imaginer,25
871,vear,25
872,detener él,25
873,adelgazar,24
874,roncar,24
875,otorgar,24
876,encerrar,24
877,suicidar él,24
878,aparentar,24
879,talar,24
880,quítatar,24
881,apresurar,24
882,abstener,24
883,complacer,24
884,concernir,24
885,tener él,24
886,nievir,24
887,resfriar,24
888,estabas,24
889,analizar,24
890,tropezar,24
891,reir yo,24
892,conquistar,24
893,detectar,24
894,asinteír,24
895,interferir,24
896,mier,24
897,dejastar,24
898,trabajer,24
899,olvidir,24
900,calmar,24
901,consolar,24
902,distraer,24
903,estirar,23
904,envolver,23
905,preocupartir,23
906,ayudartar,23
907,conmover,23
908,aclarar,23
909,acariciar,23
910,confíser,23
911,irtar,23
912,pulsar,23
913,evitar él,23
914,convenir,23
915,barrer,23
916,acostar yo,23
917,tuvierar,23
918,extraer,23
919,estuvistir,23
920,tuvistar,23
921,patear,23
922,aprendistar,23
923,hazme,22
924,tenéis,22
925,fluir,22
926,lavar él,22
927,prestar yo,22
928,permitir yo,22
929,despejar,22
930,rellenar,22
931,vendo,22
932,quitar él,22
933,aplastar,22
934,disculpar yo,22
935,violar,22
936,imprimir,22
937,pusistar,22
938,combinar,22
939,dimir,22
940,juguer,22
941,desconocer,22
942,oístir,22
943,hablarar,22
944,creéis,22
945,adelantar,22
946,lidiar,22
947,diseñar,22
948,estúpir,22
949,encajar,22
950,persuadir,22
951,armar,22
952,dejar yo,22
953,aguardar,22
954,combatir,22
955,inspirar,22
956,cesar,22
957,dser,21
958,concentrar yo,21
959,repetir él,21
960,justificar,21
961,avergüenzar,21
962,seguir él,21
963,murmurar,21
964,transportar,21
965,mirar él,21
966,presentar él,21
967,llevé,21
968,irás,21
969,morar,21
970,agitar,21
971,determinar,21
972,envejecer,21
973,ayudé,21
974,bloquear,21
975,escuchar él,21
976,prever,21
977,vas,21
978,empiecir,21
979,orinar,21
980,jactar,21
981,ejecutar,21
982,sigar,21
983,anochecer,21
984,descargar,21
985,hablarer,21
986,tomser,21
987,diagnosticar,21
988,proteger él,21
989,haer,21
990,intercambiar,21
991,aprendar,21
992,queréis,21
993,teniar,21
994,devorar,21
995,gotear,20
996,pedir yo,20
997,enfar,20
998,trasladar,20
999,apartar,20
1000,comer yo,20
