rank,lemma,count
312,poderoso,51
313,espacial,50
314,rubio,50
315,enseño,50
316,alérgico,50
317,web,50
318,brasileño,50
319,telefónico,49
320,encantado,49
321,breve,49
322,grosero,49
323,rara,49
324,básico,48
325,agotado,48
326,complejo,48
327,máximo,48
328,final,48
329,musical,48
330,directo,48
331,furioso,48
332,tercero,48
333,portugués,48
334,familiar,47
335,salvaje,47
336,obligado,47
337,general,47
338,escondido,47
339,asombroso,47
340,involucrado,47
341,valioso,46
342,mío,46
343,religioso,46
344,contrario,46
345,nuclear,46
346,sensible,46
347,parecido,46
348,impaciente,45
349,pálido,45
350,sexual,45
351,amargo,45
352,desconocido,45
353,británico,45
354,prís,45
355,violento,45
356,turco,45
357,deprimido,45
358,razonable,45
359,confundido,45
360,eterno,44
361,tercer,44
362,cristiano,44
363,improbable,43
364,deliciós,43
365,marrón,43
366,confuso,43
367,puntual,43
368,exitoso,43
369,lent,43
370,fino,43
371,egoísta,42
372,profesional,42
373,creativo,42
374,impresionado,42
375,terminado,42
376,universitario,42
377,astuto,42
378,matemático,41
379,ruidoso,41
380,húmedo,41
381,delgado,41
382,relacionado,41
383,legal,41
384,solitario,40
385,separado,40
386,árabe,40
387,mental,40
388,detesto,39
389,huevo,39
390,nocturno,39
391,numeroso,39
392,positivo,39
393,diccionario,39
394,práctico,39
395,extra,39
396,tradicional,39
397,habitual,39
398,lleva,39
399,pleno,39
400,estricto,39
401,doloroso,39
402,amistoso,39
403,fascinante,39
404,invitado,39
405,inevitable,38
406,arroz,38
407,coreano,38
408,emocionante,38
409,mágico,38
410,gigante,38
411,medio,38
412,encendido,37
413,extraordinario,37
414,atrasado,37
415,suel,37
416,curioso,37
417,universal,37
418,intenso,37
419,agudo,37
420,podrido,37
421,secundario,37
422,financiero,37
423,trabajador,37
424,desagradable,37
425,parcial,36
426,comparado,36
427,educado,36
428,fiel,36
429,esencial,36
430,escolar,36
431,típico,36
432,húngaro,36
433,tenso,36
434,desesperado,36
435,quinto,35
436,firme,35
437,efectivo,35
438,flojo,35
439,ansioso,35
440,recuerda,35
441,sanguíneo,35
442,negativo,35
443,arrogante,35
444,evidente,34
445,mortal,34
446,constante,34
447,inesperado,34
448,desierto,34
449,total,34
450,afilado,34
451,trasero,34
452,frito,34
453,impresionante,34
454,crítico,34
455,permitido,34
456,occidental,34
457,agresivo,34
458,judío,34
459,infinito,33
460,amplio,33
461,piensa,33
462,perezoso,33
463,automático,33
464,lingüístico,33
465,pierda,33
466,dile,33
467,injusto,33
468,generoso,33
469,secreto,33
470,fatal,33
471,diz,32
472,absoluto,32
473,optimista,32
474,nublado,32
475,estrecho,32
476,sueco,32
477,natal,32
478,enemigo,32
479,fundamental,32
480,atento,32
481,vosotra,32
482,opuesto,32
483,alejado,32
484,fantástico,32
485,necesit,32
486,infeliz,31
487,lloro,31
488,exacto,31
489,ideal,31
490,visto,31
491,tenés,31
492,anciano,31
493,adorable,31
494,cultural,31
495,avanzado,31
496,sabroso,31
497,levantado,31
498,recto,30
499,profesor,30
500,compuesto,30
