rank,lemma,pos,count
123,mundo,NOUN,1589
124,sentir,VERB,1565
125,poner,VERB,1538
126,gente,NOUN,1514
127,llamar,VERB,1508
128,noche,NOUN,1494
129,demasiado,ADV,1487
130,maría,PROPN,1485
131,así,ADV,1462
132,leer,VERB,1461
133,mañana,ADV,1440
134,hasta,ADP,1370
135,todavía,ADV,1365
136,perder,VERB,1356
137,coche,NOUN,1327
138,escribir,VERB,1319
139,jugar,VERB,1304
140,mujer,NOUN,1299
141,ayer,ADV,1267
142,aprender,VERB,1258
143,hijo,NOUN,1258
144,perro,NOUN,1258
145,porque,SCONJ,1254
146,morir,VERB,1246
147,primero,ADJ,1239
148,cuál,PRON,1225
149,alguien,PRON,1210
150,tomás,PROPN,1181
151,después,ADV,1174
152,pedir,VERB,1170
153,poco,ADV,1168
154,agua,NOUN,1157
155,ayudar,VERB,1154
156,semana,NOUN,1148
157,palabra,NOUN,1146
158,preguntar,VERB,1144
159,inglés,NOUN,1134
160,menos,ADV,1128
161,hacer él,VERB,1115
162,cada,DET,1113
163,entender,VERB,1111
164,mismo,DET,1103
165,ciudad,NOUN,1100
166,desde,ADP,1098
167,dormir,VERB,1087
168,estudiar,VERB,1086
169,empezar,VERB,1079
170,grande,ADJ,1078
171,seguir,VERB,1062
172,también,ADV,1061
173,hermano,NOUN,1057
174,madre,NOUN,1053
175,escuela,NOUN,1030
176,sólo,ADV,1022
177,seguro,ADJ,1012
178,boston,PROPN,1005
179,ni,CCONJ,1002
180,gato,NOUN,995
181,cuándo,PRON,983
182,difícil,ADJ,976
183,gran,ADJ,974
184,país,NOUN,974
185,puerta,NOUN,969
186,usar,VERB,964
187,clase,NOUN,962
188,feliz,ADJ,957
189,nombre,NOUN,957
190,mano,NOUN,955
191,tarde,ADV,949
192,otro,PRON,944
193,habitación,NOUN,935
194,mañana,NOUN,934
195,lugar,NOUN,925
196,durante,ADP,918
197,ninguno,DET,916
198,francés,ADJ,911
199,entre,ADP,910
200,idea,NOUN,909
201,mirar,VERB,908
202,intentar,VERB,905
203,terminar,VERB,897
204,allí,ADV,892
205,casi,ADV,891
206,último,ADJ,884
207,pequeño,ADJ,877
208,acabar,VERB,870
209,hermana,NOUN,841
210,ganar,VERB,838
211,carta,NOUN,825
212,parte,NOUN,823
213,comida,NOUN,823
214,tocar,VERB,811
215,tratar,VERB,810
216,realmente,ADV,807
217,único,ADJ,807
218,amar,VERB,795
219,idioma,NOUN,793
220,alto,ADJ,787
221,pasado,ADJ,780
222,escuchar,VERB,769
223,cambiar,VERB,761
224,beber,VERB,761
225,rápido,ADJ,755
226,ahí,ADV,748
227,pregunta,NOUN,747
228,mes,NOUN,743
229,tren,NOUN,739
230,bueno,ADJ,737
231,aún,ADV,736
232,café,NOUN,735
233,momento,NOUN,734
234,ojo,NOUN,728
235,cuenta,NOUN,726
236,lengua,NOUN,725
237,solo,ADV,723
238,john,PROPN,720
239,historia,NOUN,709
240,buscar,VERB,703
241,pagar,VERB,701
242,fiesta,NOUN,701
243,diez,NUM,696
244,familia,NOUN,694
245,error,NOUN,693
246,pronto,ADV,690
247,contar,VERB,690
248,fácil,ADJ,688
249,entrar,VERB,687
250,donde,PRON,681
251,poder,VERB,678
252,profesor,NOUN,677
253,importar,VERB,677
254,cinco,NUM,677
255,mayor,ADJ,677
256,viejo,ADJ,675
257,estudiante,NOUN,675
258,miedo,NOUN,670
259,importante,ADJ,661
260,has,AUX,660
261,música,NOUN,656
262,francés,NOUN,651
263,auto,NOUN,648
264,caer,VERB,647
265,encantar,VERB,643
266,correr,VERB,642
267,película,NOUN,641
268,accidente,NOUN,641
269,japón,PROPN,640
270,cama,NOUN,638
271,ocupado,ADJ,636
272,abrir,VERB,628
273,minuto,NOUN,626
274,ayuda,NOUN,626
275,junto,ADJ,624
276,tipo,NOUN,620
277,malo,ADJ,615
278,razón,NOUN,611
279,cerca,ADV,609
280,recordar,VERB,607
281,llover,VERB,606
282,amor,NOUN,601
283,frase,NOUN,593
284,sí,INTJ,590
285,teléfono,NOUN,590
286,soler,VERB,590
287,chica,NOUN,585
288,decidir,VERB,583
289,forma,NOUN,582
290,mientras,SCONJ,582
291,cantar,VERB,581
292,cansado,ADJ,579
293,olvidar,VERB,573
294,sueño,NOUN,573
295,dios,PROPN,573
296,poco,PRON,573
297,nadar,VERB,570
298,mesa,NOUN,567
299,fuerte,ADJ,563
300,árbol,NOUN,560
301,yanni,PROPN,559
302,acuerdo,NOUN,558
303,fin,NOUN,557
304,comenzar,VERB,556
305,quien,PRON,555
306,conducir,VERB,555
307,lado,NOUN,553
308,menudo,NOUN,552
309,policía,NOUN,551
310,camino,NOUN,549
311,cualquiera,DET,548
312,plan,NOUN,545
313,ocurrir,VERB,541
314,cuántos,DET,539
315,punto,NOUN,529
316,bastante,ADV,522
317,llorar,VERB,518
318,entonces,ADV,517
319,número,NOUN,517
320,chico,NOUN,512
321,cabeza,NOUN,508
322,visitar,VERB,508
323,mismo,ADJ,507
324,joven,ADJ,507
325,ventana,NOUN,505
326,tarde,NOUN,504
327,animal,NOUN,504
328,esposa,NOUN,501
329,deberías,PROPN,500
330,juego,NOUN,499
331,anoche,ADV,499
332,largo,ADJ,497
333,mal,ADV,496
334,luz,NOUN,496
335,calle,NOUN,493
336,costar,VERB,492
337,matar,VERB,492
338,estación,NOUN,490
339,manera,NOUN,489
340,hacia,ADP,489
341,próximo,ADJ,486
342,rico,ADJ,485
343,muerte,NOUN,482
344,foto,NOUN,475
345,flor,NOUN,475
346,solo,PROPN,474
347,llave,NOUN,472
348,lunes,NOUN,470
349,caminar,VERB,469
350,examen,NOUN,467
351,leche,NOUN,466
352,sol,NOUN,460
353,pelo,NOUN,460
354,sami,PROPN,460
355,suficiente,ADJ,459
356,cuatro,NUM,456
357,conseguir,VERB,453
358,canción,NOUN,453
359,niña,NOUN,453
360,acerca,ADV,452
361,tu,PROPN,451
362,zapato,NOUN,451
363,enseñar,VERB,449
364,levantar,VERB,448
365,tienda,NOUN,448
366,propio,DET,445
367,hija,NOUN,442
368,edad,NOUN,441
369,aquel,DET,440
370,respuesta,NOUN,439
371,romper,VERB,437
372,del,DET,436
373,guerra,NOUN,435
374,pie,NOUN,435
375,listo,ADJ,432
376,caja,NOUN,432
377,verano,NOUN,431
378,casar,VERB,430
379,duro,ADJ,427
380,hermoso,ADJ,426
381,río,NOUN,425
382,traer,VERB,425
383,realidad,NOUN,424
384,fumar,VERB,423
385,corazón,NOUN,423
386,televisión,NOUN,422
387,veces,NOUN,418
388,sonar,VERB,416
389,temprano,ADV,416
390,reloj,NOUN,415
391,gracias,NOUN,414
392,ropa,NOUN,414
393,autobús,NOUN,413
394,sino,CCONJ,411
395,posible,ADJ,411
396,japonés,ADJ,411
397,australia,PROPN,410
398,regalo,NOUN,409
399,estados,PROPN,408
400,cara,NOUN,408
401,recibir,VERB,408
402,lleno,ADJ,408
403,cerrar,VERB,408
404,unidos,PROPN,407
405,libre,ADJ,406
406,echar,VERB,404
407,manzana,NOUN,404
408,dolor,NOUN,404
409,aceptar,VERB,402
410,robar,VERB,402
411,fuera,ADV,402
412,tanto,DET,401
413,desear,VERB,400
414,interesante,ADJ,399
415,reunión,NOUN,399
416,viaje,NOUN,397
417,bicicleta,NOUN,395
418,cierto,ADJ,393
419,oficina,NOUN,393
420,capaz,ADJ,391
421,sacar,VERB,389
422,responder,VERB,388
423,vender,VERB,388
424,medio,NUM,387
425,eres,PROPN,386
426,blanco,ADJ,381
427,lejos,ADV,381
428,bonito,ADJ,381
429,existir,VERB,381
430,avión,NOUN,380
431,oír,VERB,380
432,viajar,VERB,378
433,seis,NUM,378
434,varios,DET,376
435,noticia,NOUN,374
436,rojo,ADJ,372
437,color,NOUN,371
438,hotel,NOUN,369
439,conmigo,NOUN,368
440,mejor,ADV,368
441,caso,NOUN,367
442,mantener,VERB,366
443,contra,ADP,365
444,sentar,VERB,365
445,opinión,NOUN,365
446,confiar,VERB,364
447,funcionar,VERB,364
448,saber,AUX,360
449,coger,VERB,359
450,preferir,VERB,358
451,bajo,ADP,357
452,bebé,NOUN,356
453,poco,DET,354
454,gana,NOUN,353
455,extranjero,NOUN,346
456,caballo,NOUN,346
457,colegio,NOUN,345
458,jamás,ADV,344
459,pueblo,NOUN,344
460,frío,NOUN,342
461,pájaro,NOUN,342
462,diccionario,NOUN,342
463,hecho,NOUN,339
464,perro,PROPN,339
465,aunque,SCONJ,338
466,cuarto,NOUN,337
467,equipo,NOUN,336
468,domingo,NOUN,336
469,mismo,PRON,335
470,tatoeba,PROPN,335
471,suerte,NOUN,334
472,comar,VERB,333
473,humano,ADJ,331
474,cuanto,NOUN,331
475,considerar,VERB,331
476,enfermo,NOUN,330
477,parque,NOUN,330
478,calor,NOUN,329
479,cielo,NOUN,329
480,favorito,ADJ,329
481,tarea,NOUN,328
482,novia,NOUN,328
483,peligroso,ADJ,327
484,dentro,ADV,327
485,hambre,NOUN,326
486,nacer,VERB,326
487,traducir,VERB,325
488,allá,ADV,325
489,negro,ADJ,324
490,doctor,NOUN,323
491,odiar,VERB,321
492,sentido,NOUN,321
493,parar,VERB,321
494,huevo,NOUN,320
495,médico,NOUN,320
496,jardín,NOUN,319
497,mayoría,NOUN,318
498,vino,NOUN,317
499,hecho,ADJ,317
500,explicar,VERB,316
501,vuelta,NOUN,316
502,oportunidad,NOUN,315
503,ojalá,INTJ,315
504,carne,NOUN,315
505,correcto,ADJ,314
506,andar,VERB,314
507,final,NOUN,313
508,tenis,NOUN,313
509,falta,NOUN,311
510,significar,VERB,310
511,famoso,ADJ,308
512,lluvia,NOUN,308
513,éxito,NOUN,308
514,fuego,NOUN,308
515,diferente,ADJ,307
516,hospital,NOUN,307
517,permitir,VERB,307
518,cocina,NOUN,307
519,equivocado,ADJ,306
520,ambos,NUM,305
521,papel,NOUN,305
522,despertar,VERB,304
523,mar,NOUN,304
524,ver él,VERB,304
525,derecho,NOUN,303
526,suponer,VERB,302
527,pan,NOUN,302
528,dólares,NOUN,301
529,vacación,NOUN,300
530,mentir,VERB,300
531,extraño,ADJ,299
532,vista,NOUN,299
533,sabes,PROPN,299
534,tal,NOUN,298
535,subir,VERB,298
536,suceder,VERB,298
537,mostrar,VERB,297
538,siquiera,NOUN,297
539,nieve,NOUN,297
540,salud,NOUN,297
541,secreto,NOUN,297
542,restaurante,NOUN,297
543,españa,PROPN,296
544,edificio,NOUN,296
545,sitio,NOUN,294
546,ruido,NOUN,294
547,cenar,VERB,294
548,volar,VERB,294
549,preocupar,VERB,293
550,vivo,ADJ,293
551,siete,NUM,293
552,joven,NOUN,293
553,voz,NOUN,292
554,baño,NOUN,292
555,montaña,NOUN,290
556,oración,NOUN,289
557,alguno,PRON,288
558,elegir,VERB,287
559,triste,ADJ,287
560,abierto,ADJ,287
561,compañía,NOUN,286
562,mil,NUM,285
563,lograr,VERB,285
564,cuánto,NUM,284
565,tío,NOUN,284
566,resolver,VERB,284
567,aquel,PRON,283
568,asunto,NOUN,283
569,aire,NOUN,283
570,atención,NOUN,283
571,cumpleaños,NOUN,282
572,fútbol,NOUN,282
573,deberiar,VERB,282
574,oer,VERB,281
575,banco,NOUN,280
576,consejo,NOUN,280
577,pena,NOUN,279
578,ley,NOUN,279
579,situación,NOUN,279
580,amiga,NOUN,278
581,cámara,NOUN,278
582,abandonar,VERB,278
583,cerveza,NOUN,278
584,navidad,PROPN,277
585,crecer,VERB,276
586,par,NOUN,276
587,casado,ADJ,276
588,e,CCONJ,276
589,inglés,ADJ,275
590,temer,VERB,274
591,partido,NOUN,274
592,playa,NOUN,274
593,mío,PRON,273
594,cortar,VERB,273
595,inteligente,ADJ,272
596,cometer,VERB,272
597,decir él,VERB,272
598,incluso,ADV,271
599,prestar,VERB,271
600,ser,VERB,270
601,caro,ADJ,268
602,tokio,PROPN,268
603,sentado,ADJ,268
604,muerto,ADJ,267
605,campo,NOUN,267
606,brazo,NOUN,266
607,decisión,NOUN,265
608,cambio,NOUN,265
609,regla,NOUN,265
610,solo,NOUN,265
611,preparar,VERB,264
612,biblioteca,NOUN,264
613,bailar,VERB,263
614,enviar,VERB,263
615,completamente,ADV,263
616,demá,PRON,262
617,peor,ADJ,262
618,precio,NOUN,262
619,loco,ADJ,261
620,culpa,NOUN,261
621,barco,NOUN,260
622,lavar,VERB,260
623,resultado,NOUN,260
624,quieres,VERB,260
625,vas,NOUN,259
626,descubrir,VERB,259
627,diente,NOUN,259
628,valer,VERB,258
629,cuánto,PRON,258
630,francia,PROPN,256
631,podrías,PROPN,255
632,regresar,VERB,254
633,pobre,ADJ,254
634,bajar,VERB,254
635,doler,VERB,254
636,estrella,NOUN,253
637,resultar,VERB,253
638,negocio,NOUN,252
639,estás,PROPN,252
640,imposible,ADJ,251
641,luego,ADV,251
642,cocinar,VERB,251
643,apenas,ADV,251
644,quitar,VERB,251
645,estúpido,ADJ,250
646,evitar,VERB,250
647,azul,ADJ,250
648,orgulloso,ADJ,250
649,igual,ADJ,249
650,señor,NOUN,249
651,alrededor,ADV,249
652,dirección,NOUN,249
653,negar,VERB,249
654,faltar,VERB,248
655,sombrero,NOUN,248
656,plato,NOUN,248
657,cena,NOUN,248
658,verdadero,ADJ,247
659,segundo,ADJ,247
660,novela,NOUN,247
661,abuelo,NOUN,247
662,mensaje,NOUN,246
663,debeer,AUX,246
664,china,PROPN,245
665,vaso,NOUN,244
666,ordenador,NOUN,243
667,cuerpo,NOUN,243
668,construir,VERB,243
669,treinta,NUM,241
670,piano,NOUN,241
671,necesario,ADJ,241
672,deber,NOUN,241
673,invierno,NOUN,241
674,tierra,PROPN,241
675,pierna,NOUN,241
676,siguiente,ADJ,240
677,invitar,VERB,240
678,té,PROPN,240
679,peligro,NOUN,239
680,vestido,NOUN,239
681,camisa,NOUN,239
682,enfermedad,NOUN,238
683,apagar,VERB,238
684,paz,NOUN,237
685,experiencia,NOUN,237
686,futuro,NOUN,237
687,limpiar,VERB,237
688,verde,ADJ,237
689,boca,NOUN,236
690,parís,PROPN,236
691,alegrar,VERB,236
692,periódico,NOUN,235
693,medio,NOUN,235
694,hagar,VERB,235
695,servir,VERB,233
696,presidente,NOUN,233
697,taza,NOUN,232
698,rey,NOUN,231
699,exactamente,ADV,230
700,sorprender,VERB,229
701,gracia,NOUN,229
702,cine,NOUN,229
703,claro,ADJ,229
704,pesar,NOUN,229
705,ni,ADV,228
706,convertir,VERB,228
707,antiguo,ADJ,228
708,novio,NOUN,227
709,caliente,ADJ,226
710,silla,NOUN,226
711,tras,ADP,226
712,español,ADJ,226
713,crees,PROPN,226
714,montón,NOUN,225
715,guitarra,NOUN,225
716,probablemente,ADV,224
717,cuidar,VERB,224
718,simplemente,ADV,223
719,quier,NOUN,223
720,información,NOUN,223
721,cuchillo,NOUN,223
722,capital,NOUN,223
723,peso,NOUN,222
724,dedo,NOUN,222
725,enemigo,NOUN,221
726,marido,NOUN,220
727,alemán,ADJ,220
728,enamorado,ADJ,219
729,esperanto,NOUN,218
730,probar,VERB,217
731,pieza,NOUN,217
732,raro,ADJ,215
733,dormido,ADJ,215
734,carro,NOUN,215
735,ziri,PROPN,215
736,mamá,NOUN,214
737,iglesia,NOUN,214
738,esconder,VERB,214
739,divertido,ADJ,213
740,discutir,VERB,213
741,aparecer,VERB,213
742,meter,VERB,212
743,diferencia,NOUN,212
744,pared,NOUN,211
745,jefe,NOUN,211
746,alcanzar,VERB,211
747,frente,NOUN,211
748,vecino,NOUN,211
749,ninguno,PRON,211
750,frío,ADJ,211
751,dame,PROPN,210
752,londres,PROPN,210
753,mal,ADJ,210
754,paragua,NOUN,210
755,sangre,NOUN,210
756,piedra,NOUN,209
757,europa,PROPN,209
758,buena,ADJ,209
759,cumplir,VERB,209
760,fruta,NOUN,208
761,besar,VERB,208
762,cerrado,ADJ,208
763,mentira,NOUN,208
764,mente,NOUN,207
765,ajedrez,NOUN,207
766,sala,NOUN,207
767,suelo,NOUN,207
768,dijistir,VERB,207
769,chino,ADJ,207
770,pez,NOUN,206
771,perfecto,ADJ,206
772,arte,NOUN,206
773,reír,VERB,206
774,esperanza,NOUN,206
775,prometer,VERB,206
776,centro,NOUN,206
777,obra,NOUN,205
778,acostumbrado,ADJ,205
779,mío,DET,205
780,interesar,VERB,205
781,tierra,NOUN,205
782,cuánto,PROPN,204
783,vo,ADJ,204
784,detrás,ADV,203
785,verte,NOUN,203
786,radio,NOUN,203
787,admitir,VERB,202
788,español,NOUN,202
789,azúcar,NOUN,202
790,lista,NOUN,202
791,primero,ADV,201
792,finalmente,ADV,201
793,arma,NOUN,201
794,nueva,PROPN,200
795,fuerza,NOUN,200
796,universidad,NOUN,200
797,crear,VERB,200
798,suficientemente,ADV,199
799,preocupado,ADJ,199
800,amable,ADJ,199
801,lago,NOUN,199
802,causa,NOUN,197
803,abuela,NOUN,197
804,piso,NOUN,197
805,abogado,NOUN,197
806,merecer,VERB,196
807,principio,NOUN,196
808,bajo,ADJ,196
809,concierto,NOUN,196
810,bello,ADJ,195
811,duda,NOUN,195
812,daño,NOUN,195
813,acaso,ADV,194
814,deber,VERB,194
815,pintar,VERB,194
816,aeropuerto,NOUN,194
817,corto,ADJ,194
818,popular,ADJ,194
819,molestar,VERB,194
820,vosotro,NOUN,194
821,viento,NOUN,193
822,deporte,NOUN,193
823,digar,VERB,193
824,argelia,PROPN,193
825,demasiado,DET,192
826,máquina,NOUN,192
827,según,ADP,192
828,rato,NOUN,192
829,maestro,NOUN,192
830,botella,NOUN,191
831,mejorar,VERB,191
832,dar él,VERB,190
833,cruzar,VERB,190
834,lindo,ADJ,190
835,sistema,NOUN,190
836,bus,NOUN,190
837,útil,ADJ,189
838,libertad,NOUN,189
839,japonés,NOUN,189
840,taxi,NOUN,189
841,contento,ADJ,189
842,atrás,ADV,189
843,reconocer,VERB,189
844,mucho,PRON,189
845,isla,NOUN,189
846,jugador,NOUN,189
847,matemática,NOUN,188
848,detener,VERB,187
849,luna,NOUN,187
850,veinte,NUM,186
851,extranjero,ADJ,185
852,proyecto,NOUN,185
853,bosque,NOUN,185
854,millón,NOUN,184
855,cuidado,NOUN,184
856,alemania,PROPN,184
857,escapar,VERB,184
858,ir él,VERB,184
859,paso,NOUN,183
860,sonreír,VERB,183
861,arreglar,VERB,182
862,debido,ADJ,181
863,almuerzo,NOUN,181
864,encima,ADV,181
865,esfuerzo,NOUN,180
866,página,NOUN,180
867,prueba,NOUN,180
868,guapo,ADJ,180
869,grupo,NOUN,180
870,enfadado,ADJ,180
871,justo,ADJ,180
872,menor,ADJ,179
873,planeta,NOUN,179
874,estár,AUX,179
875,desayuno,NOUN,178
876,traducción,NOUN,178
877,totalmente,ADV,177
878,capacidad,NOUN,177
879,ejemplo,NOUN,177
880,almorzar,VERB,177
881,naranja,NOUN,176
882,ver yo,VERB,176
883,ladrón,NOUN,176
884,saltar,VERB,176
885,obtener,VERB,176
886,américa,PROPN,175
887,inmediatamente,ADV,175
888,york,PROPN,175
889,oscuro,ADJ,175
890,gritar,VERB,175
891,planta,NOUN,175
892,clima,NOUN,174
893,silencio,NOUN,174
894,tema,NOUN,174
895,disfrutar,VERB,174
896,debajo,ADV,174
897,chocolate,NOUN,173
898,ken,PROPN,173
899,ciencia,NOUN,173
900,asiento,NOUN,173
901,rápidamente,ADV,173
902,oro,NOUN,172
903,déjamir,VERB,172
904,sopa,NOUN,172
905,depender,VERB,171
906,sentimiento,NOUN,171
907,actuar,VERB,171
908,computadora,NOUN,171
909,mover,VERB,171
910,metro,NOUN,170
911,gafa,NOUN,170
912,béisbol,NOUN,170
913,quedar él,VERB,170
914,soportar,VERB,170
915,escritorio,NOUN,170
916,respecto,NOUN,170
917,tampoco,ADV,169
918,alemán,NOUN,169
919,vacío,ADJ,169
920,barato,ADJ,169
921,línea,NOUN,169
922,utilizar,VERB,168
923,continuar,VERB,168
924,cuidado,ADJ,168
925,papá,NOUN,168
926,guardar,VERB,168
927,durar,VERB,168
928,pertenecer,VERB,168
929,quedar yo,VERB,167
930,haber él,AUX,167
931,compra,NOUN,167
932,manejar,VERB,167
933,italia,PROPN,166
934,oir,VERB,166
935,empresa,NOUN,166
936,entero,ADJ,165
937,repente,NOUN,165
938,aburrido,ADJ,164
939,cual,PRON,164
940,cien,NUM,164
941,pegar,VERB,163
942,alumno,NOUN,163
943,miembro,NOUN,163
944,espalda,NOUN,163
945,hoja,NOUN,163
946,correo,NOUN,162
947,resto,NOUN,162
948,través,NOUN,162
949,médico,ADJ,162
950,sufrir,VERB,162
951,relación,NOUN,162
952,tormenta,NOUN,161
953,abrigo,NOUN,161
954,dime,PROPN,161
955,dulce,ADJ,161
956,broma,NOUN,161
957,tirar,VERB,160
958,aconsejar,VERB,160
959,canadiense,ADJ,160
960,tal,DET,159
961,felicidad,NOUN,159
962,inglaterra,PROPN,159
963,agradable,ADJ,159
964,hola,PROPN,159
965,compartir,VERB,159
966,intención,NOUN,158
967,valor,NOUN,158
968,engañar,VERB,158
969,escalera,NOUN,158
970,terrible,ADJ,157
971,contener,VERB,157
972,layla,PROPN,157
973,opción,NOUN,156
974,ser,NOUN,156
975,golpear,VERB,156
976,estado,NOUN,156
977,puente,NOUN,156
978,ofrecer,VERB,156
979,objetivo,NOUN,155
980,comprender,VERB,155
981,vas,AUX,155
982,tuyo,PRON,155
983,profundo,ADJ,155
984,mandar,VERB,154
985,común,ADJ,154
986,acordar,VERB,154
987,preparado,ADJ,154
988,poema,NOUN,154
989,suyo,DET,154
990,serio,NOUN,153
991,haz,VERB,153
992,acercar,VERB,153
993,traje,NOUN,153
994,muchacho,NOUN,153
995,universo,NOUN,152
996,entrada,NOUN,152
997,bolsa,NOUN,152
998,normalmente,ADV,152
999,ir yo,VERB,151
1000,naturaleza,NOUN,151
1001,artículo,NOUN,151
1002,jane,PROPN,151
1003,mal,NOUN,151
1004,presentar,VERB,151
1005,pescar,VERB,151
1006,nativo,ADJ,151
1007,público,NOUN,150
1008,desaparecer,VERB,150
1009,texto,NOUN,150
1010,respetar,VERB,150
1011,maravilloso,ADJ,150
1012,causar,VERB,149
1013,ocultar,VERB,149
1014,planear,VERB,149
1015,quizá,ADV,149
1016,soldado,NOUN,148
1017,limpio,ADJ,148
1018,paciente,NOUN,148
1019,espacio,NOUN,147
1020,normal,ADJ,147
1021,queso,NOUN,147
1022,pintura,NOUN,147
1023,quejar,VERB,147
1024,alma,NOUN,146
1025,mitad,NOUN,146
1026,poner él,VERB,146
1027,sucio,ADJ,146
1028,aprobar,VERB,146
1029,tele,NOUN,145
1030,anciano,NOUN,145
1031,contra,NOUN,145
1032,medicina,NOUN,145
1033,cita,NOUN,145
1034,elección,NOUN,145
1035,real,ADJ,145
1036,enojado,ADJ,144
1037,nervioso,ADJ,144
1038,primavera,NOUN,144
1039,puesto,ADJ,144
1040,satisfecho,ADJ,144
1041,delante,ADV,144
1042,recoger,VERB,144
1043,natural,ADJ,144
1044,interesado,ADJ,144
1045,poder,NOUN,143
1046,no,PART,143
1047,compañero,NOUN,143
1048,amarillo,ADJ,143
1049,producir,VERB,143
1050,modo,NOUN,143
1051,pastel,NOUN,143
1052,memoria,NOUN,143
1053,ayudar él,VERB,143
1054,estudio,NOUN,142
1055,especial,ADJ,142
1056,tengar,VERB,142
1057,revista,NOUN,142
1058,promesa,NOUN,142
1059,decir yo,VERB,142
1060,hielo,NOUN,142
1061,afuero,ADJ,142
1062,seguridad,NOUN,142
1063,tanto,NOUN,142
1064,brasil,PROPN,142
1065,computador,NOUN,141
1066,carrera,NOUN,141
1067,salvar,VERB,141
1068,propio,ADJ,141
1069,sonrisa,NOUN,140
1070,lágrima,NOUN,140
1071,oso,NOUN,140
1072,crimen,NOUN,139
1073,sea,NOUN,139
1074,llamado,ADJ,139
1075,dile,PROPN,139
1076,vayar,VERB,139
1077,gordo,ADJ,138
1078,sorprendido,ADJ,138
1079,contigo,PROPN,138
1080,servicio,NOUN,138
1081,empleado,NOUN,138
1082,gastar,VERB,138
1083,discurso,NOUN,138
1084,producto,NOUN,138
1085,madre,PROPN,138
1086,abajo,ADV,138
1087,crees,NOUN,138
1088,ejercicio,NOUN,138
1089,ratón,NOUN,138
1090,política,NOUN,138
1091,belleza,NOUN,137
1092,solución,NOUN,137
1093,deseo,NOUN,137
1094,serio,ADJ,137
1095,cualquiera,PRON,136
1096,cantante,NOUN,136
1097,gobierno,NOUN,136
1098,perdido,ADJ,136
1099,siglo,NOUN,136
1100,nariz,NOUN,136
1101,gusto,NOUN,135
1102,roto,ADJ,135
1103,ellas,PROPN,135
1104,humor,NOUN,135
1105,teoría,NOUN,134
1106,ocho,NUM,134
1107,embargo,NOUN,134
1108,lenguaje,NOUN,134
1109,disparar,VERB,134
1110,educación,NOUN,133
