rank,word,count
127,sabe,1540
128,estar,1537
129,gente,1517
130,padre,1492
131,maría,1487
132,tenía,1484
133,mí,1481
134,quieres,1476
135,parece,1466
136,así,1463
137,francés,1462
138,hizo,1433
139,tarde,1427
140,hasta,1396
141,noche,1385
142,uno,1384
143,todavía,1367
144,mismo,1349
145,inglés,1341
146,nuevo,1333
147,nosotros,1278
148,quería,1275
149,ayer,1269
150,perro,1263
151,alguien,1262
152,porque,1254
153,decir,1238
154,hecho,1231
155,ni,1230
156,haber,1229
157,días,1221
158,coche,1212
159,cosas,1204
160,tenemos,1198
161,comer,1190
162,tomás,1186
163,después,1174
164,madre,1170
165,hora,1153
166,agua,1145
167,ti,1137
168,cuál,1134
169,les,1132
170,menos,1128
171,cada,1128
172,tienen,1120
173,tus,1118
174,desde,1106
175,otra,1095
176,estado,1094
177,también,1090
178,muchos,1080
179,niños,1069
180,gustaría,1068
181,necesito,1068
182,problema,1043
183,amigos,1041
184,veces,1039
185,ciudad,1039
186,estamos,1039
187,personas,1023
188,sólo,1022
189,todas,1016
190,cuándo,1011
191,nuestro,1009
192,sí,1007
193,boston,1005
194,escuela,1000
195,año,989
196,debería,987
197,pasado,985
198,buen,983
199,otro,979
200,amigo,977
201,semana,973
202,gran,972
203,fuera,966
204,tanto,958
205,sabes,949
206,alguna,946
207,hacerlo,934
208,buena,931
209,niño,930
210,podría,924
211,han,922
212,durante,918
213,entre,917
214,dice,910
215,tener,909
216,vas,907
217,difícil,904
218,nuestra,903
219,puerta,903
220,habla,902
221,habitación,894
222,casi,893
223,allí,892
224,deberías,891
225,muchas,888
226,cuánto,880
227,sabía,877
228,nombre,877
229,mujer,876
230,sea,867
231,hermano,865
232,toda,864
233,persona,853
234,bueno,850
235,lugar,845
236,mal,844
237,feliz,843
238,seguro,842
239,dio,826
240,cuenta,815
241,saber,814
242,pronto,811
243,vino,809
244,realmente,807
245,comprar,799
246,comida,788
247,libros,788
248,país,785
249,grande,783
250,visto,769
251,aprender,753
252,gustan,751
253,aún,749
254,ahí,748
255,pueden,742
256,café,738
257,ustedes,736
258,idea,735
259,vi,733
260,leer,733
261,ayuda,729
262,estos,724
263,hermana,722
264,clase,721
265,padres,720
266,john,720
267,conmigo,719
268,vive,718
269,gato,717
270,sido,712
271,haciendo,711
272,siento,707
273,vamos,706
274,rápido,703
275,nueva,703
276,hijo,702
277,diez,698
278,tren,697
279,donde,684
280,parte,684
281,cinco,682
282,momento,679
283,debe,678
284,podemos,677
285,pensé,677
286,miedo,675
287,gracias,674
288,contigo,671
289,mientras,668
290,música,665
291,fiesta,662
292,vivir,655
293,fácil,655
294,cosa,653
295,dios,653
296,familia,652
297,carta,650
298,algunos,641
299,japón,640
300,historia,636
301,joven,636
302,horas,633
303,profesor,632
304,primera,632
305,salir,631
306,espero,629
307,cama,628
308,amor,622
309,problemas,613
310,cerca,609
311,será,606
312,somos,596
313,trabajar,596
314,palabras,595
315,pasó,593
316,auto,592
317,podía,592
318,tomar,591
319,mayor,588
320,estaban,588
321,acuerdo,585
322,necesita,585
323,importante,582
324,ojos,581
325,mucha,578
326,bastante,575
327,accidente,575
328,teléfono,573
329,debes,573
330,palabra,568
331,fui,568
332,mano,568
333,policía,567
334,hijos,566
335,os,563
336,llegar,562
337,menudo,561
338,tuvo,560
339,yanni,559
340,mesa,556
341,tipo,555
342,dormir,554
343,crees,550
344,viene,549
345,cualquier,548
346,jugar,548
347,estas,548
348,razón,539
349,dicho,537
350,da,537
351,tal,536
352,camino,536
353,estudiar,533
354,murió,533
355,puso,532
356,lengua,532
357,encontrar,529
358,lado,527
359,sol,525
360,ningún,524
361,algunas,523
362,dejó,523
363,hombres,522
364,fueron,521
365,entonces,518
366,unos,518
367,dejar,518
368,forma,517
369,contra,514
370,dije,513
371,alto,510
372,fin,509
373,pregunta,509
374,quien,504
375,temprano,499
376,fuerte,499
377,anoche,499
378,venir,498
379,algún,492
380,lleva,492
381,película,490
382,importa,489
383,cabeza,489
384,guerra,489
385,hacia,489
386,único,488
387,idioma,488
388,acerca,487
389,esposa,485
390,muerte,482
391,hice,481
392,ve,481
393,última,480
394,hemos,478
395,juego,475
396,punto,472
397,veo,472
398,frío,470
399,ayudar,470
400,lunes,470
401,leche,469
402,sami,469
403,sería,467
404,nadar,467
405,minutos,466
406,otros,466
407,estación,464
408,conozco,463
409,misma,462
410,mes,460
411,número,460
412,dar,460
413,pasar,457
414,cuatro,457
415,bajo,457
416,manera,456
417,chica,452
418,sueño,450
419,pelo,449
420,ninguna,448
421,deja,448
422,escribir,446
423,hablando,445
424,pudo,445
425,río,444
426,juntos,442
427,calle,442
428,falta,441
429,volver,440
430,vivo,437
431,plan,435
432,edad,433
433,zapatos,432
434,llegó,432
435,vio,432
436,usar,430
437,pidió,429
438,mujeres,428
439,estados,427
440,suficiente,427
441,tierra,425
442,llama,424
443,televisión,423
444,verano,423
445,cuántos,422
446,realidad,421
447,podrías,419
448,queda,419
449,unidos,418
450,compró,417
451,hubiera,416
452,examen,416
453,error,415
454,ocupado,414
455,cansado,414
456,corazón,413
457,sino,411
458,pienso,411
459,australia,410
460,ropa,410
461,luz,408
462,tienda,407
463,cuarto,406
464,cara,405
465,ventana,405
466,médico,404
467,debo,402
468,estuvo,402
469,viejo,401
470,estudiantes,401
471,encanta,400
472,manos,400
473,tuve,398
474,ellas,397
475,sola,397
476,cuanto,397
477,esperar,396
478,primer,396
479,hija,396
480,reloj,396
481,preguntó,394
482,oficina,392
483,árbol,392
484,posible,391
485,poder,388
486,pequeño,388
487,autobús,388
488,nuestros,387
489,seis,386
490,ido,386
491,caja,385
492,cuidado,384
493,van,384
494,lejos,383
495,mío,382
496,té,382
497,cierto,381
498,odio,380
499,pasa,380
500,perdido,377
501,dolor,377
502,eran,373
503,unas,373
504,español,373
505,niña,372
506,pensar,371
507,bicicleta,371
508,chico,370
509,flores,370
510,cree,369
511,quieren,367
512,buscando,365
513,primero,362
514,compré,362
515,esperando,361
516,frase,360
517,respuesta,360
518,reunión,360
519,canción,360
520,libre,359
521,perder,356
522,interesante,356
523,hotel,355
524,necesitas,354
525,diccionario,354
526,japonés,352
527,creer,351
528,quedó,350
529,fumar,350
530,salió,350
531,animales,349
532,parecía,349
533,largo,348
534,haya,347
535,perdió,347
536,viaje,346
537,duro,346
538,quisiera,345
539,suerte,345
540,jamás,344
541,haga,344
542,tatoeba,344
543,media,343
544,final,342
545,extranjero,342
546,mamá,341
547,avión,341
548,solía,339
549,perros,339
550,aunque,338
551,pueda,338
552,colegio,338
553,ganas,337
554,encontré,335
555,rico,335
556,iba,335
557,idiomas,333
558,capaz,333
559,trabaja,333
560,sentido,332
561,esté,332
562,oído,332
563,necesitamos,331
564,vaya,330
565,calor,330
566,carne,330
567,cocina,330
568,hambre,329
569,vista,328
570,regalo,327
571,cielo,327
572,bebé,327
573,piensa,327
574,dentro,327
575,enfermo,326
576,allá,325
577,entender,323
578,caso,323
579,tomó,323
580,preguntas,322
581,pregunto,322
582,empezó,322
583,ojalá,321
584,pueblo,321
585,parque,320
586,dicen,319
587,nieve,319
588,tocar,319
589,novia,319
590,mayoría,318
591,cuántas,317
592,siquiera,316
593,jardín,316
594,dólares,316
595,tenis,315
596,mar,315
597,doctor,314
598,china,314
599,debemos,313
600,estudiante,312
601,opinión,312
602,cumpleaños,311
603,pan,311
604,conducir,310
605,di,310
606,hablo,309
607,e,308
608,ven,307
609,equipo,307
610,entrar,307
611,señor,307
612,entiendo,306
613,vacaciones,306
614,navidad,306
615,salud,306
616,pude,306
617,tenido,305
618,conoce,304
619,malo,303
620,sigue,303
621,éxito,303
622,vos,303
623,gatos,302
624,alemán,302
625,aquel,302
626,grandes,302
627,lista,302
628,esos,301
629,volvió,301
630,llave,301
631,medio,301
632,pequeña,298
633,beber,297
634,mira,297
635,fuego,297
636,come,297
637,listo,296
638,españa,296
639,queremos,294
640,blanco,294
641,pie,294
642,siete,293
643,lluvia,292
644,atención,292
645,extraño,291
646,fútbol,291
647,baño,291
648,color,289
649,hospital,289
650,verte,288
651,último,288
652,puesto,288
653,saben,287
654,ruido,287
655,errores,287
656,deberíamos,287
657,vuelta,286
658,vestido,286
659,terminar,286
660,amo,285
661,alrededor,284
662,oportunidad,284
663,meses,284
664,tío,283
665,pagar,282
666,vosotros,282
667,oír,282
668,mala,280
669,demás,279
670,aire,279
671,cambiar,278
672,suelo,277
673,hagas,275
674,cayó,275
675,restaurante,275
676,foto,274
677,tarea,274
678,papá,274
679,vale,273
680,única,273
681,compañía,272
682,papel,272
683,estabas,272
684,culpa,271
685,incluso,271
686,dan,271
687,espera,270
688,muerto,270
689,morir,269
690,derecho,269
691,secreto,269
692,buenos,269
693,tokio,268
694,justo,268
695,significa,267
696,pena,266
697,huevos,266
698,próximo,266
699,hiciste,266
700,voz,266
701,cámara,265
702,encontró,265
703,situación,263
704,completamente,263
705,déjame,262
706,partido,262
707,cerveza,262
708,playa,262
709,llorar,261
710,consejo,261
711,banco,261
712,biblioteca,261
713,sitio,260
714,negro,260
715,cuesta,260
716,piensas,259
717,treinta,259
718,acabo,259
719,esas,258
720,edificio,258
721,cena,258
722,viven,257
723,francia,256
724,dame,256
725,ajedrez,256
726,recuerdo,256
727,cantar,256
728,peor,254
729,apenas,254
730,ganar,253
731,triste,253
732,buenas,253
733,siendo,253
734,ves,252
735,habría,251
736,imposible,251
737,luego,251
738,hacen,250
739,escuchar,250
740,caballo,250
741,rey,249
742,prefiero,249
743,frente,249
744,seguir,248
745,trabajando,247
746,propia,247
747,esperanto,247
748,par,246
749,alta,246
750,claro,246
751,toma,245
752,presidente,245
753,leyendo,245
754,universidad,245
755,ello,244
756,clases,243
757,haré,243
758,futuro,243
759,esperaba,243
760,barco,242
761,quieras,242
762,llevar,242
763,sombrero,241
764,jugando,240
765,igual,240
766,hago,239
767,piano,239
768,terminado,239
769,otras,238
770,boca,238
771,manzana,238
772,dijiste,238
773,comió,238
774,loco,237
775,invierno,237
776,escribió,237
777,parís,236
778,paz,236
779,estará,236
780,frases,236
781,sos,236
782,rojo,235
783,azul,235
784,digas,235
785,pensaba,234
786,haces,233
787,peligro,233
788,campo,233
789,guitarra,233
790,pesar,232
791,llamar,231
792,pobre,230
793,asunto,230
794,exactamente,230
795,poner,229
796,dirección,229
797,dientes,229
798,ama,229
799,capital,229
800,favorito,229
801,hermosa,228
802,pensando,228
803,equivocado,228
804,ambos,228
805,trata,228
806,serio,227
807,venga,227
808,acaba,227
809,ocurrió,226
810,tras,226
811,cenar,226
812,estáis,226
813,simplemente,225
814,iglesia,225
815,cine,225
816,querés,225
817,probablemente,224
818,novio,224
819,rompió,223
820,llevaba,222
821,abuelo,222
822,amiga,221
823,información,221
824,viajar,221
825,comiendo,221
826,luna,221
827,haría,220
828,estudiando,220
829,escrito,220
830,pasada,220
831,montón,220
832,mil,219
833,inteligente,219
834,ley,219
835,comenzó,219
836,llamó,219
837,experiencia,218
838,marido,218
839,decidió,218
840,hubo,218
841,lleno,217
842,sangre,217
843,peligroso,216
844,abuela,216
845,duele,216
846,acá,216
847,cambio,216
848,nuestras,216
849,cuerpo,215
850,ziri,215
851,decisión,214
852,caliente,214
853,noticias,214
854,dejes,214
855,camisa,214
856,tenga,213
857,estaré,213
858,siguiente,213
859,dijeron,213
860,peso,213
861,países,211
862,estuve,211
863,sal,210
864,londres,210
865,dime,210
866,paraguas,210
867,caminar,210
868,sabemos,210
869,europa,209
870,montaña,209
871,nació,209
872,perdí,208
873,jefe,207
874,visitar,207
875,empezar,207
876,larga,206
877,arte,206
878,dormido,206
879,iré,206
880,dado,206
881,necesario,205
882,azúcar,205
883,comido,205
884,lenguas,204
885,carro,204
886,caro,203
887,ordenador,203
888,detrás,203
889,mensaje,203
890,acaso,202
891,hablas,202
892,gobierno,202
893,éste,202
894,sala,202
895,fotos,202
896,vaso,202
897,seas,202
898,según,201
899,encontrado,201
900,finalmente,201
901,taza,201
902,entró,201
903,común,201
904,hermanos,200
905,próxima,200
906,propio,200
907,tenés,200
908,centro,200
909,30,199
910,suficientemente,199
911,ocho,199
912,llover,199
913,cuchillo,199
914,venido,199
915,conseguir,199
916,mía,198
917,radio,198
918,abogado,198
919,paso,198
920,mente,197
921,abrir,197
922,varias,197
923,vendrá,197
924,diferencia,197
925,humanos,196
926,llevo,196
927,causa,196
928,mejores,196
929,miró,196
930,suena,196
931,haz,195
932,domingo,195
933,amable,195
934,bebe,194
935,divertido,194
936,hicieron,194
937,usa,194
938,vayas,194
939,lago,193
940,verde,193
941,argelia,193
942,viendo,192
943,funciona,192
944,rato,192
945,resolver,192
946,conoces,192
947,desayuno,191
948,libertad,190
949,intentando,190
950,llegado,190
951,chicos,190
952,atrás,190
953,aeropuerto,190
954,llevó,190
955,pedí,190
956,reglas,189
957,chino,189
958,cartas,188
959,mirando,188
960,comprado,188
961,intentó,188
962,estés,188
963,diferente,187
964,varios,187
965,correr,187
966,estábamos,187
967,almuerzo,187
968,veinte,187
969,traje,186
970,silla,185
971,sale,185
972,viste,184
973,llegué,184
974,alemania,184
975,irse,184
976,afuera,184
977,silencio,183
978,público,183
979,proyecto,183
980,decirle,183
981,manzanas,183
982,concierto,183
983,bosque,183
984,hablan,183
985,deseo,182
986,semanas,182
987,taxi,182
988,precio,182
989,prueba,182
990,felices,182
991,encima,182
992,dile,182
993,pasando,181
994,fuimos,181
995,enfermedad,181
996,debido,181
997,terminó,181
998,maestro,181
999,viento,180
1000,matemáticas,180
1001,animal,180
1002,sopa,180
1003,llaves,180
1004,deberes,179
1005,helado,179
1006,confiar,178
1007,pudiera,178
1008,hará,178
1009,pájaros,178
1010,hacía,178
1011,dejado,178
1012,diciendo,178
1013,escribe,177
1014,ideas,177
1015,existe,177
1016,totalmente,177
1017,leído,177
1018,evitar,176
1019,bonita,176
1020,piso,176
1021,escritorio,176
1022,necesitaba,176
1023,américa,175
1024,estúpido,175
1025,oro,175
1026,inmediatamente,175
1027,york,175
1028,dices,175
1029,pescado,175
1030,pájaro,175
1031,responder,175
1032,periódico,175
1033,bus,175
1034,digo,174
1035,famoso,174
1036,ken,174
1037,ganó,174
1038,bailar,174
1039,ninguno,174
1040,diferentes,174
1041,debajo,174
1042,irme,173
1043,toca,173
1044,aquella,173
1045,novela,173
1046,sistema,173
1047,rápidamente,173
1048,corriendo,172
1049,brazo,172
1050,contar,172
1051,hola,172
1052,prisa,171
1053,clima,171
1054,internet,171
1055,abierta,171
1056,ésta,171
1057,gafas,171
1058,béisbol,171
1059,conocido,171
1060,sentado,171
1061,quedarse,170
1062,llueve,170
1063,casado,170
1064,llena,170
1065,respecto,170
1066,paciente,170
1067,tampoco,169
1068,2,169
1069,abrigo,169
1070,pase,169
1071,árboles,169
1072,traducir,168
1073,acostumbrado,168
1074,isla,168
1075,durmiendo,168
1076,abrió,168
1077,chocolate,167
1078,nueve,167
1079,piedra,167
1080,segundo,167
1081,noticia,167
1082,correcto,167
1083,italia,166
1084,esperanza,166
1085,deberían,165
1086,universo,165
1087,juega,165
1088,olvides,165
1089,jóvenes,165
1090,daño,165
1091,repente,165
1092,quedé,165
1093,uso,164
1094,pared,164
1095,ayudarte,164
1096,cien,164
1097,aprendiendo,164
1098,habrá,163
1099,contento,163
1100,favorita,163
1101,habló,163
1102,matar,163
1103,oración,163
1104,canadiense,163
1105,gustaba,162
1106,través,162
1107,arroz,162
1108,fruta,162
1109,sacó,162
1110,siente,162
1111,principio,162
1112,trató,162
1113,diga,161
1114,segunda,161
1115,odia,161
1116,minuto,161
1117,hiciera,160
1118,junto,160
1119,ocupada,160
1120,pocos,160
1121,vieja,160
1122,nuevos,159
1123,aquellos,159
1124,izquierda,159
1125,tenéis,159
1126,estudio,159
1127,dejé,159
1128,pasé,159
1129,sentó,159
1130,inglaterra,159
1131,gusto,159
1132,creía,159
1133,quiera,159
1134,humano,158
1135,chicas,158
1136,deben,158
1137,linda,158
1138,sentía,158
1139,ojo,158
1140,enamorado,158
1141,sueños,157
1142,felicidad,157
1143,resultado,157
1144,vuelve,157
1145,layla,157
1146,gustó,156
1147,normalmente,156
1148,llega,156
1149,ciencia,155
1150,enemigo,155
1151,queso,154
1152,pieza,154
1153,supongo,153
1154,naturaleza,153
1155,películas,153
1156,desearía,153
1157,sr,153
1158,popular,153
1159,olvidó,153
1160,contó,153
1161,pensó,152
1162,tonto,152
1163,máquina,152
1164,cocinar,152
1165,tuvimos,152
1166,correo,152
1167,agradable,152
1168,jane,151
1169,profesora,151
1170,política,151
1171,pone,151
1172,estaría,150
1173,mantener,150
1174,pocas,150
1175,suele,150
1176,puente,150
1177,segura,150
1178,útil,149
1179,quedarme,149
1180,obra,149
1181,roja,149
1182,estrellas,149
1183,botella,149
1184,vuelto,149
1185,quizá,149
1186,quedar,149
1187,podéis,149
1188,recuerda,149
1189,pareces,148
1190,bonito,148
1191,encuentra,148
1192,menor,148
1193,empieza,148
1194,tengas,148
1195,mitad,148
1196,orgulloso,148
1197,temo,148
1198,sois,148
1199,lee,148
1200,pies,148
1201,partes,148
1202,comí,148
1203,duda,147
1204,casó,147
1205,grupo,147
1206,fuerza,147
1207,vimos,147
1208,estuviera,147
1209,ladrón,147
1210,derecha,147
1211,olvidé,146
1212,entiende,146
1213,tele,146
1214,pedir,146
1215,tormenta,146
1216,primavera,146
1217,ayudó,145
1218,oí,145
1219,capacidad,145
1220,ejemplo,145
1221,parecen,145
1222,bolsa,144
1223,decirme,144
1224,gana,144
1225,platos,144
1226,delante,144
1227,seguridad,144
1228,cualquiera,143
1229,espacio,143
1230,llamo,143
1231,verme,143
1232,fuiste,143
1233,enferma,143
1234,mentira,143
1235,mundial,143
1236,compras,142
1237,valor,142
1238,general,142
1239,terrible,142
1240,habían,142
1241,medicina,142
1242,hermoso,142
1243,brasil,142
1244,recordar,142
1245,sentimientos,141
1246,normal,141
1247,verdadero,141
1248,adónde,141
1249,empresa,141
1250,domingos,141
1251,verlo,141
1252,tema,141
1253,resto,140
1254,necesitan,140
1255,hielo,140
1256,memoria,140
1257,raro,139
1258,10,139
1259,planeta,139
1260,olvidado,139
1261,computadora,139
1262,llegue,138
1263,modo,138
1264,abajo,138
1265,interesa,138
1266,sentí,138
1267,escucha,138
1268,casas,137
1269,noches,137
1270,llamada,137
1271,cita,137
1272,cambiado,137
1273,mató,136
1274,llamado,136
1275,puedas,136
1276,borracho,136
1277,dulce,136
1278,educación,135
1279,encuentro,135
1280,belleza,135
1281,oh,135
1282,partir,135
1283,perfecto,135
1284,humor,135
1285,embargo,134
1286,sonrisa,134
1287,asiento,134
1288,lápiz,134
1289,decidido,134
1290,comen,134
1291,despacio,133
1292,5,133
1293,sepa,133
1294,cierra,133
1295,parar,133
1296,nosotras,133
1297,quiso,133
1298,tuyo,132
1299,conocer,132
1300,verdaderamente,132
1301,vuestro,132
1302,ayudarme,131
1303,viernes,131
1304,discurso,131
1305,cual,131
1306,conocí,131
1307,limpiar,130
1308,siguió,130
1309,ruso,130
1310,espalda,130
1311,negocio,130
1312,perdón,130
1313,frecuencia,130
1314,oraciones,130
1315,ante,129
1316,roto,129
1317,paciencia,129
1318,cantante,129
1319,3,129
1320,buscar,129
1321,alma,129
1322,carrera,129
1323,levantó,129
1324,tarta,129
1325,bella,128
1326,vivía,128
1327,peces,128
1328,pastel,128
1329,vuestra,128
1330,podés,128
1331,tratando,127
1332,texto,127
1333,lágrimas,127
1334,jugador,127
1335,línea,127
1336,volveré,126
1337,depende,126
1338,aburrido,126
1339,paseo,126
1340,preocupado,126
1341,hermanas,126
1342,flor,126
1343,lamento,126
1344,enseñó,126
1345,escuchando,126
1346,habéis,126
1347,lenguaje,126
1348,traducción,126
1349,quizás,125
1350,preocupes,125
1351,intención,125
1352,hechos,125
1353,objetivo,125
1354,solución,125
1355,viviendo,125
1356,arriba,125
1357,decirte,125
1358,tenían,125
1359,empleo,125
1360,negocios,125
1361,ten,125
1362,premio,125
1363,blanca,125
1364,lloviendo,125
1365,millones,125
1366,negó,125
1367,real,125
1368,idiota,124
1369,anciano,124
1370,rara,124
1371,pizza,124
1372,bill,124
1373,pintura,124
1374,sociedad,124
1375,propósito,124
1376,correcta,123
1377,pequeños,123
1378,mismos,123
1379,abre,123
1380,tráfico,123
1381,tuviera,123
1382,madera,123
1383,teatro,123
1384,tuya,123
1385,página,122
1386,japonesa,122
1387,techo,122
1388,cerrar,122
1389,sintió,122
1390,baja,122
1391,basura,122
1392,pescar,122
1393,piernas,122
1394,pierna,122
1395,querría,122
1396,vosotras,122
1397,teoría,121
1398,últimamente,121
1399,aconsejó,121
1400,culpable,121
1401,sorprendió,121
1402,veía,121
1403,cansada,121
1404,acento,121
1405,aceptar,121
1406,contacto,121
1407,mapa,120
1408,respondió,120
1409,llorando,120
1410,relación,120
1411,encantan,120
1412,nuevas,119
1413,absoluto,119
1414,000,119
1415,cabo,119
1416,sientes,119
1417,museo,119
1418,alumnos,119
1419,coches,119
1420,leí,119
1421,estudia,119
1422,norte,119
1423,ejercicio,119
1424,dedos,119
1425,adelante,119
1426,arma,119
1427,merece,118
1428,entrada,118
1429,crimen,118
1430,creen,118
1431,club,118
1432,siglo,118
1433,inteligencia,117
1434,planes,117
1435,deporte,117
1436,guapa,117
1437,amistad,117
1438,energía,117
1439,golf,117
1440,existen,117
1441,vecinos,117
1442,despierto,116
1443,doce,116
1444,eras,116
1445,sorpresa,115
1446,sorprendido,115
1447,especial,115
1448,artículo,115
1449,sonido,115
1450,japoneses,115
1451,permiso,115
1452,comportamiento,115
1453,corbata,115
1454,broma,115
1455,enfadado,115
1456,rica,115
1457,recibió,115
1458,nací,115
1459,robó,115
1460,cuáles,115
1461,tomado,115
1462,muchacho,115
1463,simple,114
1464,explicar,114
1465,naranja,114
1466,tía,114
1467,boda,114
1468,tomé,114
1469,torta,114
1470,hablado,114
1471,huele,114
1472,permite,114
1473,distancia,114
1474,oscuridad,114
1475,fría,114
1476,inocente,114
1477,coger,114
1478,haberlo,113
1479,darle,113
1480,juan,113
1481,volar,113
1482,tendrá,113
1483,placer,113
1484,quedarte,113
1485,usando,113
1486,sentir,112
1487,casarse,112
1488,computador,112
1489,corre,112
1490,compraste,112
1491,diario,112
1492,bob,112
1493,preparado,112
1494,cambió,112
1495,oferta,112
1496,quitó,112
1497,nativo,112
1498,quise,111
1499,escribiendo,111
1500,enojado,111
1501,galletas,111
1502,fondo,111
1503,grecia,111
1504,ganado,111
1505,vivimos,111
1506,nariz,111
1507,llevas,110
1508,tendrás,110
1509,oscuro,110
1510,hayas,110
1511,prometió,110
1512,enorme,110
1513,honesto,110
1514,sur,110
1515,significado,110
1516,quince,110
1517,pertenece,110
1518,skura,110
1519,pez,109
1520,empleados,109
1521,carretera,109
1522,botón,109
1523,estrella,109
1524,andar,109
1525,lavar,108
1526,excepto,108
1527,matrimonio,108
1528,haberte,108
1529,opción,108
1530,derechos,108
1531,servicio,108
1532,esposo,108
1533,hojas,108
1534,plantas,108
1535,interesado,108
1536,queréis,108
1537,fácilmente,107
1538,querías,107
1539,piel,107
1540,cincuenta,107
1541,busca,107
1542,rosa,107
1543,conocen,107
1544,pelota,107
1545,cerrada,107
1546,almorzar,107
1547,duerme,107
1548,cola,107
1549,excelente,107
1550,probable,107
1551,resultados,107
1552,explicación,106
1553,harto,106
1554,talento,106
1555,resultó,106
1556,vecino,106
1557,prisión,106
1558,intenta,106
1559,italiano,105
1560,plato,105
1561,vuelo,105
1562,jim,105
1563,hables,105
1564,intenté,105
1565,cáncer,105
1566,confianza,105
1567,camión,105
1568,enseñar,105
1569,cárcel,105
1570,supuesto,105
1571,hicimos,105
1572,inmediato,105
1573,tenías,105
1574,hacerte,104
1575,nervioso,104
1576,esfuerzo,104
1577,das,104
1578,soldados,104
1579,casualidad,104
1580,intentar,104
1581,arena,104
1582,dedo,104
1583,bolígrafo,104
1584,ventanas,104
1585,sofá,104
1586,preferiría,104
1587,profundamente,103
1588,alcohol,103
1589,luces,103
1590,vende,103
1591,corto,103
1592,nubes,103
1593,orden,103
1594,paró,103
1595,barato,103
1596,corrió,103
1597,lentes,103
1598,costó,102
1599,cabello,102
1600,revista,102
1601,vuelva,102
1602,alegro,102
1603,canadá,102
1604,satisfecho,102
1605,sed,102
1606,responsable,102
1607,sacar,102
1608,hablaba,102
1609,vete,102
1610,propuesta,101
1611,hablamos,101
1612,cantidad,101
1613,tiempos,101
1614,poema,101
1615,pues,101
1616,tendré,101
1617,consiguió,101
1618,artista,100
1619,doy,100
1620,salvo,100
1621,jack,100
1622,piensan,100
1623,visita,100
1624,humana,100
1625,mercado,100
1626,incendio,100
1627,cuestión,100
1628,caballos,100
1629,tomando,100
1630,corta,100
1631,sábado,100
1632,enseña,100
1633,extranjeros,100
1634,resfriado,100
1635,estómago,100
1636,aprendido,100
1637,conocía,100
1638,extraña,100
1639,acabó,100
1640,mostró,100
1641,colón,100
1642,sonrió,100
1643,discutir,100
1644,entero,99
1645,pantalones,99
1646,caminando,99
1647,murieron,99
1648,vayamos,99
1649,escaleras,99
1650,roma,99
1651,darme,99
1652,caer,99
1653,sucedió,99
1654,natural,99
1655,manejar,99
1656,mintiendo,99
1657,sirve,98
1658,tanta,98
1659,absolutamente,98
1660,sonó,98
1661,anda,98
1662,molesta,98
1663,volverá,98
1664,hazlo,98
1665,trajo,98
1666,quedan,98
1667,echó,98
1668,amaba,98
1669,elegir,97
1670,cerebro,97
1671,programa,97
1672,población,97
1673,multitud,97
1674,guste,97
1675,temperatura,97
1676,principal,97
1677,parado,97
1678,decía,97
1679,ratón,97
1680,espejo,97
1681,mirar,97
1682,física,96
1683,soportar,96
1684,vemos,96
1685,dieron,96
1686,completo,96
1687,llegará,96
1688,explicó,96
1689,tarjeta,96
1690,llamas,96
