cada uno/a,each one,Indefinite,,2 - Common
ambos/as,both,Indefinite,,2 - Common
bastante,enough/quite a lot,Indefinite,,2 - Common
demasiado/a,too much,Indefinite,,2 - Common
varios/as,several,Indefinite,,2 - Common
demás,the rest/the others,Indefinite,los demás — the others,2 - Common
tal,such (a)/so,Indefinite,tal cosa — such a thing,2 - Common
tales,such (plural),Indefinite,,2 - Common
quienquiera,whoever,Indefinite,,3 - Less Common
dondequiera,wherever,Indefinite,,3 - Less Common
comoquiera,however/in whatever way,Indefinite,,3 - Less Common
lo que,what/that which,Relative - Neuter,lo que quiero — what I want,2 - Common
lo cual,which (neuter),Relative - Neuter,refers back to whole idea,2 - Common
todo lo que,everything that/all that,Relative - Neuter,,2 - Common
algo que,something that,Relative - Neuter,,2 - Common
nada que,nothing to/that,Relative - Neuter,,2 - Common
alguien que,someone who,Relative - Neuter,,2 - Common
nadie que,no one who,Relative - Neuter,,2 - Common
conmigo,with me,Prepositional,special form of con + yo,2 - Common
contigo,with you (informal),Prepositional,special form of con + tú,2 - Common
consigo,with himself/herself/themselves,Prepositional,reflexive form,2 - Common
mí,me (after preposition),Prepositional,para mí — for me,2 - Common
ti,you (after preposition),Prepositional,para ti — for you,2 - Common
sí,himself/herself/themselves (reflexive),Prepositional,vive para sí — lives for himself,3 - Less Common
le → se,to him/her (before lo/la),Indirect Object Special,le lo → se lo,2 - Common
