none (plural),ningunos/as,Indefinite,rare in plural,1 - Essential
everything,todo,Indefinite,,1 - Essential
everyone/all,todos/as,Indefinite,,1 - Essential
another/other one,otro/a,Indefinite,,1 - Essential
others,otros/as,Indefinite,,1 - Essential
much/a lot,mucho/a,Indefinite,,1 - Essential
many,muchos/as,Indefinite,,1 - Essential
little/not much,poco/a,Indefinite,,1 - Essential
few,pocos/as,Indefinite,,1 - Essential
same one/myself etc.,mismo/a,Indefinite,used for emphasis: yo mismo,1 - Essential
one/someone,uno/a,Indefinite,,1 - Essential
this one,este/a,Demonstrative,,1 - Essential
that one (nearby),ese/a,Demonstrative,,1 - Essential
that one (far away),aquel/aquella,Demonstrative,,1 - Essential
these,estos/as,Demonstrative,,1 - Essential
those (nearby),esos/as,Demonstrative,,1 - Essential
those (far away),aquellos/as,Demonstrative,,1 - Essential
this (neuter),esto,Demonstrative,refers to ideas/unknown things,1 - Essential
that (neuter),eso,Demonstrative,refers to ideas/unknown things,1 - Essential
that (neuter far),aquello,Demonstrative,refers to ideas/unknown things,1 - Essential
my,mi/mis,Possessive - Unstressed,used before noun: mi casa,1 - Essential
your (informal),tu/tus,Possessive - Unstressed,used before noun,1 - Essential
his/her/your(formal)/their,su/sus,Possessive - Unstressed,used before noun,1 - Essential
our,nuestro/a,Possessive - Unstressed,used before noun,1 - Essential
your (Spain plural),vuestro/a,Possessive - Unstressed,Spain only; used before noun,1 - Essential
mine,mío/a,Possessive - Stressed,used after noun or alone: es mío,2 - Common
yours (informal),tuyo/a,Possessive - Stressed,used after noun or alone,2 - Common
his/hers/yours/theirs,suyo/a,Possessive - Stressed,used after noun or alone,2 - Common
ours,nuestro/a,Possessive - Stressed,used after noun or alone,2 - Common
yours (Spain plural),vuestro/a,Possessive - Stressed,Spain only,2 - Common
mine (plural),míos/as,Possessive - Stressed,,2 - Common
yours (plural),tuyos/as,Possessive - Stressed,,2 - Common
his/hers/theirs (plural),suyos/as,Possessive - Stressed,,2 - Common
that/which/who,que,Relative,most common relative pronoun,2 - Common
who/whom (singular),quien,Relative,refers to people only,2 - Common
who/whom (plural),quienes,Relative,refers to people only,2 - Common
where,donde,Relative,used as relative: el lugar donde...,2 - Common
when,cuando,Relative,used as relative: el día cuando...,2 - Common
how/as,como,Relative,used as relative: la manera como...,2 - Common
which (singular),cual,Relative,el cual/la cual — formal,2 - Common
which (plural),cuales,Relative,los cuales/las cuales — formal,2 - Common
whose,cuyo/a,Relative,agrees with thing possessed not owner,2 - Common
whose (plural),cuyos/as,Relative,,2 - Common
anyone/whichever/whatever,cualquiera,Indefinite,,2 - Common
any (plural),cualesquiera,Indefinite,rare,2 - Common
each one,cada uno/a,Indefinite,,2 - Common
both,ambos/as,Indefinite,,2 - Common
enough/quite a lot,bastante,Indefinite,,2 - Common
too much,demasiado/a,Indefinite,,2 - Common
several,varios/as,Indefinite,,2 - Common
the rest/the others,demás,Indefinite,los demás — the others,2 - Common
such (a)/so,tal,Indefinite,tal cosa — such a thing,2 - Common
such (plural),tales,Indefinite,,2 - Common
whoever,quienquiera,Indefinite,,3 - Less Common
wherever,dondequiera,Indefinite,,3 - Less Common
however/in whatever way,comoquiera,Indefinite,,3 - Less Common
what/that which,lo que,Relative - Neuter,lo que quiero — what I want,2 - Common
which (neuter),lo cual,Relative - Neuter,refers back to whole idea,2 - Common
everything that/all that,todo lo que,Relative - Neuter,,2 - Common
something that,algo que,Relative - Neuter,,2 - Common
nothing to/that,nada que,Relative - Neuter,,2 - Common
someone who,alguien que,Relative - Neuter,,2 - Common
no one who,nadie que,Relative - Neuter,,2 - Common
with me,conmigo,Prepositional,special form of con + yo,2 - Common
with you (informal),contigo,Prepositional,special form of con + tú,2 - Common
with himself/herself/themselves,consigo,Prepositional,reflexive form,2 - Common
me (after preposition),mí,Prepositional,para mí — for me,2 - Common
you (after preposition),ti,Prepositional,para ti — for you,2 - Common
himself/herself/themselves (reflexive),sí,Prepositional,vive para sí — lives for himself,3 - Less Common
to him/her (before lo/la),le → se,Indirect Object Special,le lo → se lo,2 - Common
