front,back,pos,claude_classification
fresh/cool,fresco/a,ADJ,5 - Advanced
mature/ripe,maduro/a,ADJ,5 - Advanced
raw,crudo/a,ADJ,5 - Advanced
cooked,cocido/a,ADJ,5 - Advanced
sacred/holy,sagrado/a,ADJ,5 - Advanced
secular/lay,laico/a,ADJ,5 - Advanced
unique/only,único/a,ADJ,5 - Advanced
multiple,múltiple,ADJ,5 - Advanced
double,doble,ADJ,5 - Advanced
triple,triple,ADJ,5 - Advanced
recent,reciente,ADJ,5 - Advanced
future,futuro/a,ADJ,5 - Advanced
past,pasado/a,ADJ,5 - Advanced
current/present,actual,ADJ,5 - Advanced
temporary,temporal,ADJ,5 - Advanced
permanent,permanente,ADJ,5 - Advanced
urgent,urgente,ADJ,5 - Advanced
serious/severe,grave,ADJ,5 - Advanced
mild/slight,leve,ADJ,5 - Advanced
absolute,absoluto/a,ADJ,5 - Advanced
relative,relativo/a,ADJ,5 - Advanced
fair/just,justo/a,ADJ,5 - Advanced
unfair/unjust,injusto/a,ADJ,5 - Advanced
legal,legal,ADJ,5 - Advanced
illegal,ilegal,ADJ,5 - Advanced
correct,correcto/a,ADJ,5 - Advanced
incorrect,incorrecto/a,ADJ,5 - Advanced
available,disponible,ADJ,5 - Advanced
capable,capaz,ADJ,5 - Advanced
incapable,incapaz,ADJ,5 - Advanced
sufficient/enough,suficiente,ADJ,5 - Advanced
insufficient,insuficiente,ADJ,5 - Advanced
known/well-known,conocido/a,ADJ,5 - Advanced
unknown,desconocido/a,ADJ,5 - Advanced
dear/beloved,querido/a,ADJ,5 - Advanced
hated,odiado/a,ADJ,5 - Advanced
lost,perdido/a,ADJ,5 - Advanced
found,encontrado/a,ADJ,5 - Advanced
broken,roto/a,ADJ,5 - Advanced
whole/entire,entero/a,ADJ,5 - Advanced
successful,exitoso/a,ADJ,5 - Advanced
